aidx;assay_category;assay_cell_type;assay_chembl_id;assay_classifications;assay_organism;assay_parameters;assay_strain;assay_subcellular_fraction;assay_tax_id;assay_test_type;assay_tissue;assay_type;assay_type_description;bao_format;bao_label;cell_chembl_id;confidence_description;confidence_score;description;document_chembl_id;relationship_description;relationship_type;src_assay_id;src_id;target_chembl_id;tissue_chembl_id;variant_sequence
CLD0;;A549;CHEMBL620275;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307651;Target assigned is non-molecular;1;In vitro inhibitory concentration required against human lung A549 carcinoma cells proliferation;CHEMBL1134048;Non-molecular target assigned;N;;1;CHEMBL392;;
CLD0;;A549;CHEMBL621653;[];;[];;;;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307651;Target assigned is non-molecular;1;Synergism with indomethacin in A549 cells;CHEMBL1146678;Non-molecular target assigned;N;;1;CHEMBL392;;
CLD0;;A549;CHEMBL621654;[];;[];;;;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307651;Target assigned is non-molecular;1;Synergism with sulindac in A549 cells;CHEMBL1146678;Non-molecular target assigned;N;;1;CHEMBL392;;
CLD0;;A549;CHEMBL619526;[];;[];;;;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307651;Target assigned is non-molecular;1;"Drug interaction towards A549 cell line was determined in terms of combination index in presence of Tometin; Not available";CHEMBL1146678;Non-molecular target assigned;N;;1;CHEMBL392;;
CLD0;;;CHEMBL626815;[];;[];;;;;;A;ADME;BAO_0000019;assay format;;Default value - Target unknown or has yet to be assigned;0;Bullaticin index relates the IC50 values by normalizing to the value of bullatacin for easy comparison.;CHEMBL1130080;Default value - Target has yet to be curated;U;;1;CHEMBL612558;;
CLD0;;;CHEMBL628546;[];;[];;;;;;A;ADME;BAO_0000019;assay format;;Default value - Target unknown or has yet to be assigned;0;"Statistical significance of IC 50 values; Expressed as R value";CHEMBL1130080;Default value - Target has yet to be curated;U;;1;CHEMBL612558;;
CLD0;;;CHEMBL635477;[];;[];;;;;;P;Physicochemical;BAO_0000100;small-molecule physicochemical format;;Default value - Target unknown or has yet to be assigned;0;Partition coefficient (logD7.4);CHEMBL1124835;Default value - Target has yet to be curated;U;;1;CHEMBL2362975;;
CLD0;;;CHEMBL635404;[];;[];;;;;;P;Physicochemical;BAO_0000100;small-molecule physicochemical format;;Default value - Target unknown or has yet to be assigned;0;Micelle/water partition coefficient (Pmic) of the compound was determined;CHEMBL1129683;Default value - Target has yet to be curated;U;;1;CHEMBL2362975;;
CLD0;;;CHEMBL858445;[];;[];;;;;;P;Physicochemical;BAO_0000100;small-molecule physicochemical format;;Default value - Target unknown or has yet to be assigned;0;Partition coefficient (logP);CHEMBL1121459;Default value - Target has yet to be curated;U;;1;CHEMBL2362975;;
CLD0;;CCRF-CEM;CHEMBL655021;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307641;Target assigned is non-molecular;1;Effect on cross resistance of CCRF-CEM cells resistant to vincristine.;CHEMBL1124835;Non-molecular target assigned;N;;1;CHEMBL382;;
CLD0;;Panel CNS (Carcinoma cell lines);CHEMBL658402;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307621;Target assigned is non-molecular;1;Inhibition of proliferation in NCI human CNS tumor cell lines;CHEMBL1135474;Non-molecular target assigned;N;;1;CHEMBL614459;;
CLD0;;Panel CNS (Carcinoma cell lines);CHEMBL658403;[];;[];;;;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307621;Target assigned is non-molecular;1;Cytotoxic effect on human CNS tumor cell lines;CHEMBL1135474;Non-molecular target assigned;N;;1;CHEMBL614459;;
CLD0;;Panel CNS (Carcinoma cell lines);CHEMBL658404;[];;[];;;;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307621;Target assigned is non-molecular;1;Cytostatic effect on human CNS tumor cell lines;CHEMBL1135474;Non-molecular target assigned;N;;1;CHEMBL614459;;
CLD0;;;CHEMBL658287;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000019;assay format;;Target assigned is non-molecular;1;Inhibitory concentration against human T-cell leukemic cell line (CRFF-CEM) in vitro;CHEMBL1124428;Non-molecular target assigned;N;;1;CHEMBL3879801;;
CLD0;;CCRF-CEM;CHEMBL658288;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307641;Target assigned is non-molecular;1;Inhibition against CRFF-CEM-T-Cell leukemic cell line;CHEMBL1124592;Non-molecular target assigned;N;;1;CHEMBL382;;
CLD0;;;CHEMBL662299;[];Cricetulus griseus;[];;;10029.0;;;F;Functional;BAO_0000019;assay format;;Default value - Target unknown or has yet to be assigned;0;Effect on cross resistance of chinese hamster cells resistant to Actinomycin D.;CHEMBL1124835;Default value - Target has yet to be curated;U;;1;CHEMBL612545;;
CLD0;;Panel colon (Carcinoma cell lines);CHEMBL662314;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307624;Target assigned is non-molecular;1;Cytostatic effect on human colon tumor cell lines;CHEMBL1135474;Non-molecular target assigned;N;;1;CHEMBL614467;;
CLD0;;DLKP cell line;CHEMBL664337;[];;[];;;;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308451;Target assigned is non-molecular;1;Synergism with sulindac in DLKP cells;CHEMBL1146678;Non-molecular target assigned;N;;1;CHEMBL614482;;
CLD0;;DLKP cell line;CHEMBL664817;[];;[];;;;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308451;Target assigned is non-molecular;1;Synergism with tolmedin in DLKP cells;CHEMBL1146678;Non-molecular target assigned;N;;1;CHEMBL614482;;
CLD0;;DLKP cell line;CHEMBL664818;[];;[];;;;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308451;Target assigned is non-molecular;1;"Drug interaction towards DLKP cell line was determined in terms of combination index in presence of Indomethacin; Not available";CHEMBL1146678;Non-molecular target assigned;N;;1;CHEMBL614482;;
