aidx;assay_category;assay_cell_type;assay_chembl_id;assay_classifications;assay_organism;assay_parameters;assay_strain;assay_subcellular_fraction;assay_tax_id;assay_test_type;assay_tissue;assay_type;assay_type_description;bao_format;bao_label;cell_chembl_id;confidence_description;confidence_score;description;document_chembl_id;relationship_description;relationship_type;src_assay_id;src_id;target_chembl_id;tissue_chembl_id;variant_sequence
CLD0;;EMT6;CHEMBL675329;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307584;Target assigned is non-molecular;1;Compound was evaluated for its effect on survival of aerobic EMT6 tumor cells when exposed to concentration at 10E-4 M;CHEMBL1123249;Non-molecular target assigned;N;;1;CHEMBL614294;;
CLD0;;EMT6;CHEMBL675330;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307584;Target assigned is non-molecular;1;Compound was evaluated for its effect on survival of aerobic EMT6 tumor cells when exposed to concentration at 10E-5 M;CHEMBL1123249;Non-molecular target assigned;N;;1;CHEMBL614294;;
CLD0;;EMT6;CHEMBL675332;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307584;Target assigned is non-molecular;1;Compound was evaluated for its effect on survival of aerobic EMT6 tumor cells when exposed to concentration at 10e-6 M;CHEMBL1123249;Non-molecular target assigned;N;;1;CHEMBL614294;;
CLD0;;EMT6;CHEMBL675333;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307584;Target assigned is non-molecular;1;Compound was evaluated for its effect on survival of aerobic EMT6 tumor cells when exposed to concentration at 10e-7 M;CHEMBL1123249;Non-molecular target assigned;N;;1;CHEMBL614294;;
CLD0;;EMT6;CHEMBL675335;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307584;Target assigned is non-molecular;1;Compound was evaluated for its effect on survival of hypoxic EMT6 tumor cells when exposed to concentration at 10E-4 M;CHEMBL1123249;Non-molecular target assigned;N;;1;CHEMBL614294;;
CLD0;;EMT6;CHEMBL675683;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307584;Target assigned is non-molecular;1;Compound was evaluated for its effect on survival of hypoxic EMT6 tumor cells when exposed to concentration at 10e-5 M;CHEMBL1123249;Non-molecular target assigned;N;;1;CHEMBL614294;;
CLD0;;EMT6;CHEMBL675684;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307584;Target assigned is non-molecular;1;Compound was evaluated for its effect on survival of hypoxic EMT6 tumor cells when exposed to concentration at 10E-6 M;CHEMBL1123249;Non-molecular target assigned;N;;1;CHEMBL614294;;
CLD0;;EMT6;CHEMBL675685;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3307584;Target assigned is non-molecular;1;Compound was evaluated for its effect on survival of hypoxic EMT6 tumor cells when exposed to concentration at 10e-7 M;CHEMBL1123249;Non-molecular target assigned;N;;1;CHEMBL614294;;
CLD0;;L1210;CHEMBL700819;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308391;Target assigned is non-molecular;1;Cytotoxicity was determined in vitro in murine leukemia L1210 Cells;CHEMBL1123327;Non-molecular target assigned;N;;1;CHEMBL386;;
CLD0;;L1210;CHEMBL878607;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308391;Target assigned is non-molecular;1;"In vitro inhibitory concentration required for 50% inhibition of L1210 cell growth;(ID 50*1E-12)";CHEMBL1121878;Non-molecular target assigned;N;;1;CHEMBL386;;
CLD0;;L1210;CHEMBL706192;[];Mus musculus;[{'active': 1, 'comments': None, 'relation': '=', 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'DOSE', 'standard_type_fixed': 0, 'standard_units': 'mg.kg-1', 'standard_value': '50.0', 'text_value': None, 'type': 'DOSE', 'units': 'mg/kg', 'value': '50.0'}];;;10090.0;;;F;Functional;BAO_0000218;organism-based format;CHEMBL3308391;Target assigned is non-molecular;1;Effect dose of 50 mg/kg on day 3, before L1210 cell transplantation in mice;CHEMBL1121878;Non-molecular target assigned;N;;1;CHEMBL386;;
CLD0;;L1210;CHEMBL704087;[];Mus musculus;[{'active': 1, 'comments': None, 'relation': '=', 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'DOSE', 'standard_type_fixed': 0, 'standard_units': 'mg.kg-1', 'standard_value': '100.0', 'text_value': None, 'type': 'DOSE', 'units': 'mg/kg', 'value': '100.0'}];;;10090.0;;;F;Functional;BAO_0000218;organism-based format;CHEMBL3308391;Target assigned is non-molecular;1;Median survival time at a compound dose of 100 mg/kg, in mice bearing L1210 cells on days 1 and 5;CHEMBL1121878;Non-molecular target assigned;N;;1;CHEMBL386;;
CLD0;;L1210;CHEMBL703630;[];Mus musculus;[{'active': 1, 'comments': None, 'relation': '=', 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'DOSE', 'standard_type_fixed': 0, 'standard_units': 'mg.kg-1', 'standard_value': '200.0', 'text_value': None, 'type': 'DOSE', 'units': 'mg/kg', 'value': '200.0'}];;;10090.0;;;F;Functional;BAO_0000218;organism-based format;CHEMBL3308391;Target assigned is non-molecular;1;"Median survival time at a compound dose of 200 mg/kg, in mice bearing L1210 cells on days 1 and 5; Toxic";CHEMBL1121878;Non-molecular target assigned;N;;1;CHEMBL386;;
CLD0;;L1210;CHEMBL703632;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308391;Target assigned is non-molecular;1;Median survival time at a compound dose of 25 mg/Kg, in mice bearing L1210 cells on days 1 and 5;CHEMBL1121878;Non-molecular target assigned;N;;1;CHEMBL386;;
CLD0;;L1210;CHEMBL703636;[];Mus musculus;[{'active': 1, 'comments': None, 'relation': '=', 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'DOSE', 'standard_type_fixed': 0, 'standard_units': 'mg.kg-1', 'standard_value': '50.0', 'text_value': None, 'type': 'DOSE', 'units': 'mg/kg', 'value': '50.0'}];;;10090.0;;;F;Functional;BAO_0000218;organism-based format;CHEMBL3308391;Target assigned is non-molecular;1;Median survival time at a compound dose of 50 mg/kg, in mice bearing L1210 cells on days 1 and 5;CHEMBL1121878;Non-molecular target assigned;N;;1;CHEMBL386;;
CLD0;;L1210;CHEMBL703642;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308391;Target assigned is non-molecular;1;Median survival time when no dose was administered in mice bearing L1210 cells on days 1 and 5;CHEMBL1121878;Non-molecular target assigned;N;;1;CHEMBL386;;
CLD0;;;CHEMBL746039;[];Mus musculus;[{'active': 1, 'comments': None, 'relation': '=', 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'DOSE', 'standard_type_fixed': 0, 'standard_units': 'mg.kg-1', 'standard_value': '100.0', 'text_value': None, 'type': 'DOSE', 'units': 'mg/kg', 'value': '100.0'}];;;10090.0;;;F;Functional;BAO_0000218;organism-based format;;Target assigned is non-molecular;1;Ratio of the median survival time (treated(T) versus control(C)) at a dose of 100 mg/kg, on days 1 and 5;CHEMBL1121878;Non-molecular target assigned;N;;1;CHEMBL375;;
CLD0;;;CHEMBL746040;[];Mus musculus;[];;;10090.0;;;F;Functional;BAO_0000218;organism-based format;;Target assigned is non-molecular;1;Ratio of the median survival time (treated(T) versus control(C)) at a dose of 25 mg/Kg on days 1 and 5;CHEMBL1121878;Non-molecular target assigned;N;;1;CHEMBL375;;
