aidx;assay_category;assay_cell_type;assay_chembl_id;assay_classifications;assay_organism;assay_parameters;assay_strain;assay_subcellular_fraction;assay_tax_id;assay_test_type;assay_tissue;assay_type;assay_type_description;bao_format;bao_label;cell_chembl_id;confidence_description;confidence_score;description;document_chembl_id;relationship_description;relationship_type;src_assay_id;src_id;target_chembl_id;tissue_chembl_id;variant_sequence
CLD0;;;CHEMBL935685;[];Rattus norvegicus;[];;;10116.0;;;B;Binding;BAO_0000357;single protein format;;Direct single protein target assigned;9;Inhibition of NADPH-reduced rat recombinant TrxR1 by DTNB reduction assay;CHEMBL1147045;Direct protein target assigned;D;;1;CHEMBL6035;;
CLD0;;;CHEMBL935686;[];Homo sapiens;[];;;9606.0;;;B;Binding;BAO_0000357;single protein format;;Direct single protein target assigned;9;Inhibition of human thioredoxin;CHEMBL1147045;Direct protein target assigned;D;;1;CHEMBL2403;;
CLD0;;;CHEMBL935687;[];Rattus norvegicus;[];;;10116.0;;;B;Binding;BAO_0000357;single protein format;;Direct single protein target assigned;9;Inhibition of NADPH-reduced rat recombinant TrxR1 assessed as NADPH oxidase activity by DTNB reduction assay;CHEMBL1147045;Direct protein target assigned;D;;1;CHEMBL6035;;
CLD0;;;CHEMBL936488;[];Rattus norvegicus;[];;;10116.0;;;B;Binding;BAO_0000357;single protein format;;Direct single protein target assigned;9;Inhibition of NADPH-reduced rat recombinant TrxR1 in presence of superoxide dismutase by DTNB reduction assay;CHEMBL1147045;Direct protein target assigned;D;;1;CHEMBL6035;;
CLD0;;;CHEMBL931509;[];Rattus norvegicus;[];;;10116.0;;;B;Binding;BAO_0000357;single protein format;;Direct single protein target assigned;9;Inhibition of NADPH-reduced rat recombinant TrxR1 in presence of catalase by DTNB reduction assay;CHEMBL1147045;Direct protein target assigned;D;;1;CHEMBL6035;;
CLD0;;;CHEMBL931510;[];Escherichia coli;[];;;562.0;;;B;Binding;BAO_0000019;assay format;;Default value - Target unknown or has yet to be assigned;0;Inhibition of Escherichia coli thioredoxin upto 5 uM by insulin reduction method;CHEMBL1147045;Default value - Target has yet to be curated;U;;1;CHEMBL612545;;
CLD0;;MCF7;CHEMBL931511;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308403;Target assigned is non-molecular;1;Inhibition of human MCF7 cell growth after 24 hrs by XTT assay;CHEMBL1147045;Non-molecular target assigned;N;;1;CHEMBL387;;
CLD0;;MCF7;CHEMBL931512;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308403;Target assigned is non-molecular;1;Reduction of human MCF7 cell growth at 2.5 uM after 48 hrs by XTT assay;CHEMBL1147045;Non-molecular target assigned;N;;1;CHEMBL387;;
CLD0;;MCF7;CHEMBL931513;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000219;cell-based format;CHEMBL3308403;Target assigned is non-molecular;1;Reduction of human MCF7 cell growth at 5.0 uM after 48 hrs by XTT assay;CHEMBL1147045;Non-molecular target assigned;N;;1;CHEMBL387;;
CLD0;;MCF7;CHEMBL931514;[];Homo sapiens;[];;;9606.0;;;B;Binding;BAO_0000219;cell-based format;CHEMBL3308403;Direct single protein target assigned;9;Inhibition of TrxR1 in human MCF7 cell lysates at 5.0 uM by insulin assay;CHEMBL1147045;Direct protein target assigned;D;;1;CHEMBL1927;;
CLD0;;MCF7;CHEMBL931515;[];Homo sapiens;[];;;9606.0;;;B;Binding;BAO_0000219;cell-based format;CHEMBL3308403;Direct single protein target assigned;9;Inhibition of human thioredoxin in MCF7 cell lysates by insulin assay;CHEMBL1147045;Direct protein target assigned;D;;1;CHEMBL2403;;
CLD0;;MCF7;CHEMBL931516;[];Homo sapiens;[];;;9606.0;;;B;Binding;BAO_0000219;cell-based format;CHEMBL3308403;Direct single protein target assigned;9;Effect on human thioredoxin redox state change in MCF7 cells assessed as decrease in 12-kDa monomer part at 2.5 uM after 48 hrs by Western blot;CHEMBL1147045;Direct protein target assigned;D;;1;CHEMBL2403;;
CLD0;;MCF7;CHEMBL931517;[];Homo sapiens;[];;;9606.0;;;B;Binding;BAO_0000219;cell-based format;CHEMBL3308403;Direct single protein target assigned;9;Effect on human thioredoxin redox state change in MCF7 cells assessed as decrease in 12-kDa monomer part at 5.0 uM after 48 hrs by Western blot;CHEMBL1147045;Direct protein target assigned;D;;1;CHEMBL2403;;
CLD0;;;CHEMBL931518;[];Rattus norvegicus;[];;;10116.0;;;B;Binding;BAO_0000357;single protein format;;Direct single protein target assigned;9;Inhibition of NADPH-reduced rat recombinant TrxR1 at 0.1 uM attenuated in presence of 1 mM Glutathione after 30 minis;CHEMBL1147045;Direct protein target assigned;D;;1;CHEMBL6035;;
CLD0;;;CHEMBL931519;[];Rattus norvegicus;[];;;10116.0;;;B;Binding;BAO_0000357;single protein format;;Direct single protein target assigned;9;Inhibition of NADPH-reduced rat recombinant TrxR1 at 0.25 uM attenuated in presence of 1 mM Glutathione after 30 minis;CHEMBL1147045;Direct protein target assigned;D;;1;CHEMBL6035;;
CLD0;;;CHEMBL931520;[];Rattus norvegicus;[];;;10116.0;;;B;Binding;BAO_0000357;single protein format;;Direct single protein target assigned;9;Inhibition of NADPH-reduced rat recombinant TrxR1 at >0.5 uM attenuated in presence of 1 mM Glutathione after 30 minis;CHEMBL1147045;Direct protein target assigned;D;;1;CHEMBL6035;;
CLD0;confirmatory;;CHEMBL1614544;[];Homo sapiens;[];;;9606.0;;;F;Functional;BAO_0000019;assay format;;Direct single protein target assigned;9;PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Lamin A Splicing. (Class of assay: confirmatory) ;CHEMBL1201862;Direct protein target assigned;D;1487;7;CHEMBL1293235;;
CLD0;;;CHEMBL1697722;[];;[];;;;;;A;ADME;BAO_0000019;assay format;;Target assigned is non-molecular;1;Literature-mined public compounds from Greene et al multi-species hepatotoxicity modelling dataset;CHEMBL1697692;Non-molecular target assigned;N;;1;CHEMBL1697861;;
CLD0;;;CHEMBL1697730;[];Homo sapiens;[];;;9606.0;;Liver;A;ADME;BAO_0000221;tissue-based format;;Target assigned is non-molecular;1;Human drug-induced liver injury (DILI) modelling dataset from Ekins et al;CHEMBL1697723;Non-molecular target assigned;N;;1;CHEMBL1697861;CHEMBL3559723;
CLD0;confirmatory;;CHEMBL1794345;[];Plasmodium falciparum;[];;;5833.0;;;F;Functional;BAO_0000218;organism-based format;;Target assigned is non-molecular;1;PUBCHEM_BIOASSAY: Primary qHTS for delayed death inhibitors of the malarial parasite plastid, 96 hour incubation. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488745, AID488752, AID488774, AID504848, AID504850];CHEMBL1201862;Non-molecular target assigned;N;504834;7;CHEMBL364;;
CLD0;confirmatory;;CHEMBL1794580;[];Plasmodium falciparum;[];;;5833.0;;;F;Functional;BAO_0000218;organism-based format;;Target assigned is non-molecular;1;PUBCHEM_BIOASSAY: Primary qHTS for delayed death inhibitors of the malarial parasite plastid, 48 hour incubation. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488752, AID488774, AID504848, AID504850];CHEMBL1201862;Non-molecular target assigned;N;504832;7;CHEMBL364;;
CLD0;;;CHEMBL1909307;[];;[];;;;;Liver;A;ADME;BAO_0000221;tissue-based format;;Target assigned is non-molecular;1;"Drug Induced Liver Injury Prediction System (DILIps) training set; hepatic side effect (HepSE) score for bilirubinemia";CHEMBL1909294;Non-molecular target assigned;N;1;1;CHEMBL1697861;CHEMBL3559723;
CLD0;;;CHEMBL1909308;[];;[];;;;;Liver;A;ADME;BAO_0000221;tissue-based format;;Target assigned is non-molecular;1;"Drug Induced Liver Injury Prediction System (DILIps) training set; hepatic side effect (HepSE) score for cholecystitis";CHEMBL1909294;Non-molecular target assigned;N;2;1;CHEMBL1697861;CHEMBL3559723;
CLD0;;;CHEMBL1909309;[];;[];;;;;Liver;A;ADME;BAO_0000221;tissue-based format;;Target assigned is non-molecular;1;"Drug Induced Liver Injury Prediction System (DILIps) training set; hepatic side effect (HepSE) score for cholelithiasis";CHEMBL1909294;Non-molecular target assigned;N;3;1;CHEMBL1697861;CHEMBL3559723;
CLD0;;;CHEMBL1909310;[];;[];;;;;Liver;A;ADME;BAO_0000221;tissue-based format;;Target assigned is non-molecular;1;"Drug Induced Liver Injury Prediction System (DILIps) training set; hepatic side effect (HepSE) score for cirrhosis";CHEMBL1909294;Non-molecular target assigned;N;4;1;CHEMBL1697861;CHEMBL3559723;
CLD0;;;CHEMBL1909311;[];;[];;;;;Liver;A;ADME;BAO_0000221;tissue-based format;;Target assigned is non-molecular;1;"Drug Induced Liver Injury Prediction System (DILIps) training set; hepatic side effect (HepSE) score for elevated liver function tests";CHEMBL1909294;Non-molecular target assigned;N;5;1;CHEMBL1697861;CHEMBL3559723;
CLD0;;;CHEMBL1909312;[];;[];;;;;Liver;A;ADME;BAO_0000221;tissue-based format;;Target assigned is non-molecular;1;"Drug Induced Liver Injury Prediction System (DILIps) training set; hepatic side effect (HepSE) score for hepatic failure";CHEMBL1909294;Non-molecular target assigned;N;6;1;CHEMBL1697861;CHEMBL3559723;
CLD0;;;CHEMBL1909313;[];;[];;;;;Liver;A;ADME;BAO_0000221;tissue-based format;;Target assigned is non-molecular;1;"Drug Induced Liver Injury Prediction System (DILIps) training set; hepatic side effect (HepSE) score for hepatic necrosis";CHEMBL1909294;Non-molecular target assigned;N;7;1;CHEMBL1697861;CHEMBL3559723;
