aidx;assay_category;assay_cell_type;assay_chembl_id;assay_classifications;assay_organism;assay_parameters;assay_strain;assay_subcellular_fraction;assay_tax_id;assay_test_type;assay_tissue;assay_type;assay_type_description;bao_format;bao_label;cell_chembl_id;confidence_description;confidence_score;description;document_chembl_id;relationship_description;relationship_type;src_assay_id;src_id;target_chembl_id;tissue_chembl_id;variant_sequence
CLD0;;C3H 10T1/2;CHEMBL2045142;[];Mus musculus;[];;;10090.0;;;B;Binding;BAO_0000219;cell-based format;CHEMBL3307493;Direct single protein target assigned;9;Inhibition of Smo in mouse C3H10T1/2 cells using human recombinant SHH assessed as effect on SMO/SHH transient transcriptional activation after 20 hrs by Gli-luciferase reporter assay;CHEMBL2040751;Direct protein target assigned;D;453468;1;CHEMBL6080;;
CLD0;;;CHEMBL2045144;[];;[];;;;;;P;Physicochemical;BAO_0000100;small-molecule physicochemical format;;Default value - Target unknown or has yet to be assigned;0;Aqueous solubility of the compound;CHEMBL2040751;Default value - Target has yet to be curated;U;453470;1;CHEMBL2362975;;
CLD0;;;CHEMBL2045147;[];Homo sapiens;[];;Microsome;9606.0;In vitro;Liver;A;ADME;BAO_0000251;microsome format;;Target assigned is subcellular fraction;2;Free intrinsic clearance in human liver microsomes;CHEMBL2040751;Subcellular target assigned;S;453474;1;CHEMBL613373;CHEMBL3559723;
CLD0;;;CHEMBL2045151;[];;[];;;;;;P;Physicochemical;BAO_0000100;small-molecule physicochemical format;;Default value - Target unknown or has yet to be assigned;0;Lipophilicity, log D of the compound;CHEMBL2040751;Default value - Target has yet to be curated;U;453478;1;CHEMBL2362975;;
CLD0;;;CHEMBL2045152;[];Rattus norvegicus;[];;Microsome;10116.0;;Liver;A;ADME;BAO_0000251;microsome format;;Default value - Target unknown or has yet to be assigned;0;Fraction unbound in rat liver microsomes;CHEMBL2040751;Default value - Target has yet to be curated;U;453479;1;CHEMBL612558;CHEMBL3559723;
CLD0;;;CHEMBL2045153;[];Canis lupus familiaris;[];;Microsome;9615.0;;Liver;A;ADME;BAO_0000251;microsome format;;Default value - Target unknown or has yet to be assigned;0;Fraction unbound in dog liver microsomes;CHEMBL2040751;Default value - Target has yet to be curated;U;453480;1;CHEMBL612558;CHEMBL3559723;
CLD0;;;CHEMBL2045154;[];Homo sapiens;[];;Microsome;9606.0;;Liver;A;ADME;BAO_0000251;microsome format;;Default value - Target unknown or has yet to be assigned;0;Fraction unbound in human liver microsomes;CHEMBL2040751;Default value - Target has yet to be curated;U;453481;1;CHEMBL612558;CHEMBL3559723;
CLD0;;;CHEMBL2045155;[];;[];;;;;;A;ADME;BAO_0000357;single protein format;;Homologous single protein target assigned;8;Inhibition of CYP1A2;CHEMBL2040751;Homologous protein target assigned;H;453482;1;CHEMBL3356;;
CLD0;;;CHEMBL2045156;[];;[];;;;;;A;ADME;BAO_0000357;single protein format;;Homologous single protein target assigned;8;Inhibition of CYP2C8;CHEMBL2040751;Homologous protein target assigned;H;453483;1;CHEMBL3721;;
CLD0;;;CHEMBL2045157;[];;[];;;;;;A;ADME;BAO_0000357;single protein format;;Homologous single protein target assigned;8;Inhibition of CYP2C9;CHEMBL2040751;Homologous protein target assigned;H;453484;1;CHEMBL3397;;
