aidx;assay_category;assay_cell_type;assay_chembl_id;assay_classifications;assay_organism;assay_parameters;assay_strain;assay_subcellular_fraction;assay_tax_id;assay_test_type;assay_tissue;assay_type;assay_type_description;bao_format;bao_label;cell_chembl_id;confidence_description;confidence_score;description;document_chembl_id;relationship_description;relationship_type;src_assay_id;src_id;target_chembl_id;tissue_chembl_id;variant_sequence
6662_2_pol_5974;;;CHEMBL3706336;[];Homo sapiens;[];;;9606.0;;;B;Binding;BAO_0000357;single protein format;;Direct single protein target assigned;9;Inhibition Assay: A partial protein of only a kinase domain of RET protein was purchased from Carna Biosciences Inc., Japan. The phosphorylation activity toward a peptide substrate was investigated using an EZ reader (Caliper). Test compounds were each mixed with a protein solution to give 8 final concentrations from 100 nM to 0.03 nM, followed by addition of a mixed liquid of ATP and substrate peptide (Caliper) and reaction for 30 minutes. The ATP concentration used was 100 µM. A reaction liquid which contained protein but no test compound (in which the solvent DMSO alone was added at 0.8% in place of the test compound) was prepared, followed by reaction in the same manner with or without ATP addition. In the absence of the test compound, the phosphorylation peptide peak without ATP addition and with ATP addition was assumed to be 100% inhibition and 0% inhibition, respectively.;CHEMBL3639105;Direct protein target assigned;D;6662_2_pol_5974;37;CHEMBL2041;;
6662_3_pol_6479;;;CHEMBL3706337;[];;[];;;;;;B;Binding;BAO_0000357;single protein format;;Homologous single protein target assigned;8;Inhibition Assay: A partial protein of only a kinase domain of ROS protein was purchased from Carna Biosciences Inc., Japan, and tests were conducted as in Test Example 5, except that the ATP concentration in the mixed solution of ATP and substrate peptide (Caliper) was 50 uM. Test Example 5: A partial protein of only a kinase domain of RET protein was purchased from Carna Biosciences Inc., Japan. The phosphorylation activity toward a peptide substrate was investigated using an EZ reader (Caliper). Test compounds were each mixed with a protein solution to give 8 final concentrations from 100 nM to 0.03 nM, followed by addition of a mixed liquid of ATP and substrate peptide (Caliper) and reaction for 30 minutes. The ATP concentration used was 100 ÂµM. A reaction liquid which contained protein but no test compound (in which the solvent DMSO alone was added at 0.8% in place of the test compound) was prepared, followed by reaction in the same manner with or without ATP addition.;CHEMBL3639105;Homologous protein target assigned;H;6662_3_pol_6479;37;CHEMBL5568;;
6662_1_pol_6801;;lymphoid;CHEMBL3706338;[];;[];;;;;;B;Binding;BAO_0000219;cell-based format;;Homologous single protein target assigned;8;"Inhibition Assay: A recombinant retrovirus was created from expression plasmid FLAG-EML4-ALKv1/pMX-iresCD8 in which cDNA for EMLA-ALK fusion protein v1 was integrated, and injected into mouse lymphoid cell line BA/F3 cells. Using a magnetic bead reagent for cell separation and a purification column (anti-CD8 monoclonal antibody immobilized on magnetic beads and a MiniMACS purification column; both are products of MilteDyi Biotec Inc.), cell surface CD8-expressing cells were purified to establish EML4-ALK fusion protein v1-expressing BA/F3 cells. From the cells, EML4-ALK fusion protein v1 was purified and subjected to kinase activity evaluation. EML4-ALK fusion protein v1 was investigated for its phosphorylation activity toward a peptide substrate by using a kinase activity detection kit (HTRF KinEASE-TK; Cisbio Inc.). Test compounds were each added to a reaction solution containing the enzyme protein to give 8 final concentrations from 1000 nM to 0.3 nM, followed by addition of ATP.";CHEMBL3639105;Homologous protein target assigned;H;6662_1_pol_6801;37;CHEMBL4247;;
6662_4_pol_5672;;;CHEMBL3706339;[];Homo sapiens;[];;;9606.0;;;B;Binding;BAO_0000357;single protein format;;Direct single protein target assigned;9;Inhibition Assay: A partial protein of only a kinase domain of FLT3 protein was purchased from Carna Biosciences Inc., Japan, and tests were conducted as in Test Example 5. Test Example 5: A partial protein of only a kinase domain of RET protein was purchased from Carna Biosciences Inc., Japan. The phosphorylation activity toward a peptide substrate was investigated using an EZ reader (Caliper). Test compounds were each mixed with a protein solution to give 8 final concentrations from 100 nM to 0.03 nM, followed by addition of a mixed liquid of ATP and substrate peptide (Caliper) and reaction for 30 minutes. The ATP concentration used was 100 ÂµM. A reaction liquid which contained protein but no test compound (in which the solvent DMSO alone was added at 0.8% in place of the test compound) was prepared, followed by reaction in the same manner with or without ATP addition.;CHEMBL3639105;Direct protein target assigned;D;6662_4_pol_5672;37;CHEMBL1974;;
CLD0;;;CHEMBL3811320;[];Homo sapiens;[];;;9606.0;;;B;Binding;BAO_0000357;single protein format;;Direct single protein target assigned;9;Inhibition of AXL (unknown origin);CHEMBL3808287;Direct protein target assigned;D;833615;1;CHEMBL4895;;
KBe_4cl_Q2M2I8;;K-562, COLO 205, SK-N-BE(2) and MV-4-11;CHEMBL3991602;[];Homo sapiens;[{'active': 1, 'comments': 'Is the measured interaction considered due to direct binding to target?', 'relation': '=', 'standard_relation': '=', 'standard_text_value': 'yes', 'standard_type': 'Direct Binder', 'standard_type_fixed': 0, 'standard_units': None, 'standard_value': None, 'text_value': 'yes', 'type': 'Direct Binder', 'units': None, 'value': None}];;Cell lysate;9606.0;In vitro;;B;Binding;BAO_0000220;subcellular format;;Direct single protein target assigned;9;Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.;CHEMBL3991601;Direct protein target assigned;D;;48;CHEMBL3830;;
KBe_4cl_P00519;;K-562, COLO 205, SK-N-BE(2) and MV-4-11;CHEMBL3991603;[];Homo sapiens;[{'active': 1, 'comments': 'Is the measured interaction considered due to direct binding to target?', 'relation': '=', 'standard_relation': '=', 'standard_text_value': 'yes', 'standard_type': 'Direct Binder', 'standard_type_fixed': 0, 'standard_units': None, 'standard_value': None, 'text_value': 'yes', 'type': 'Direct Binder', 'units': None, 'value': None}];;Cell lysate;9606.0;In vitro;;B;Binding;BAO_0000220;subcellular format;;Direct single protein target assigned;9;Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.;CHEMBL3991601;Direct protein target assigned;D;;48;CHEMBL1862;;
KBe_4cl_P42684;;K-562, COLO 205, SK-N-BE(2) and MV-4-11;CHEMBL3991604;[];Homo sapiens;[{'active': 1, 'comments': 'Is the measured interaction considered due to direct binding to target?', 'relation': '=', 'standard_relation': '=', 'standard_text_value': 'yes', 'standard_type': 'Direct Binder', 'standard_type_fixed': 0, 'standard_units': None, 'standard_value': None, 'text_value': 'yes', 'type': 'Direct Binder', 'units': None, 'value': None}];;Cell lysate;9606.0;In vitro;;B;Binding;BAO_0000220;subcellular format;;Direct single protein target assigned;9;Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.;CHEMBL3991601;Direct protein target assigned;D;;48;CHEMBL4014;;
KBe_4cl_Q6JQN1;;K-562, COLO 205, SK-N-BE(2) and MV-4-11;CHEMBL3991605;[];Homo sapiens;[{'active': 1, 'comments': 'Is the measured interaction considered due to direct binding to target?', 'relation': '=', 'standard_relation': '=', 'standard_text_value': 'yes', 'standard_type': 'Direct Binder', 'standard_type_fixed': 0, 'standard_units': None, 'standard_value': None, 'text_value': 'yes', 'type': 'Direct Binder', 'units': None, 'value': None}];;Cell lysate;9606.0;In vitro;;B;Binding;BAO_0000220;subcellular format;;Direct single protein target assigned;9;Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.;CHEMBL3991601;Direct protein target assigned;D;;48;CHEMBL4105816;;
KBe_4cl_Q709F0;;K-562, COLO 205, SK-N-BE(2) and MV-4-11;CHEMBL3991606;[];Homo sapiens;[{'active': 1, 'comments': 'Is the measured interaction considered due to direct binding to target?', 'relation': '=', 'standard_relation': '=', 'standard_text_value': 'yes', 'standard_type': 'Direct Binder', 'standard_type_fixed': 0, 'standard_units': None, 'standard_value': None, 'text_value': 'yes', 'type': 'Direct Binder', 'units': None, 'value': None}];;Cell lysate;9606.0;In vitro;;B;Binding;BAO_0000220;subcellular format;;Direct single protein target assigned;9;Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.;CHEMBL3991601;Direct protein target assigned;D;;48;CHEMBL4105707;;
